,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_883,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,s_
ASV_884,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Varistrombidium,Varistrombidium kielum
ASV_885,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
ASV_887,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,unassigned
ASV_888,Eukaryota,Endomyxa,Ascetosporea,Paradiniida,unknown,g_,s_
ASV_890,no_hit,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,no_hit
ASV_891,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unassigned
ASV_892,Eukaryota,Endomyxa,Ascetosporea,Paradiniida,unknown,Paradinium,Paradinium poucheti
ASV_893,Eukaryota,unknown,Polycystinea,unassigned,unassigned,unassigned,unassigned
ASV_894,Eukaryota,Ciliophora,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_897,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_898,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_899,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_900,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_901,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_903,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Hydrichthyidae,Hydrichthys,Hydrichthys boycei
ASV_904,Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,Aeginidae,Aegina,Aegina citrea
ASV_908,Eukaryota,unknown,Dinophyceae,unknown,unknown,Theleodinium,Theleodinium calcisporum
ASV_909,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium sp. JG-2011a
ASV_910,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
ASV_911,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_912,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878
ASV_913,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_914,Eukaryota,unknown,Pelagophyceae,unknown,unknown,unknown,Coccoid pelagophyte CCMP1395
ASV_915,Eukaryota,unknown,Polycystinea,unassigned,unassigned,unassigned,unassigned
ASV_916,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium litoralis
ASV_917,Eukaryota,Euglenozoa,unknown,Diplonemea,Diplonemidae,g_,s_
ASV_918,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_919,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_920,Eukaryota,unknown,Dinophyceae,Peridiniales,Pfiesteriaceae,unassigned,unassigned
ASV_921,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,unassigned
ASV_922,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,s_
ASV_923,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_925,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_927,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus moultoni
ASV_928,no_hit,Haptophyta,unknown,Zygodiscales,Braarudosphaeraceae,Braarudosphaera,Braarudosphaera bigelowii
ASV_929,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_930,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_931,Eukaryota,unknown,Cryptophyceae,Kathablepharidacea,Katablepharidaceae,Leucocryptos,Leucocryptos marina
ASV_932,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_933,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_934,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_936,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_937,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Metacylididae,Helicostomella,Helicostomella subulata
ASV_938,Eukaryota,Ciliophora,Oligohymenophorea,Apostomatida,Colliniidae,Pseudocollinia,unassigned
ASV_939,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_941,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_942,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_943,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_944,Eukaryota,Euglenozoa,unknown,Diplonemea,unassigned,unassigned,unassigned
ASV_946,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Harpacticidae,Zaus,s_
ASV_947,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Eutintinnus,unassigned
ASV_949,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,s_
ASV_950,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_951,Eukaryota,Cercozoa,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_952,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_953,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_954,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_955,Eukaryota,Euglenozoa,Euglenida,Eutreptiales,unknown,Eutreptiella,Eutreptiella eupharyngea
ASV_957,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos sp. EP-2016a
ASV_959,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_960,Eukaryota,Rotifera,Monogononta,Ploima,Gastropidae,Ascomorpha,Ascomorpha ovalis
ASV_961,Eukaryota,Endomyxa,Ascetosporea,Paradiniida,unknown,g_,s_
ASV_962,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_964,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_965,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_966,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,Sphaerozoum,Sphaerozoum punctatum
ASV_967,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_968,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_969,Eukaryota,Cercozoa,unknown,unknown,unknown,g_,s_
ASV_970,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_971,Eukaryota,Streptophyta,Liliopsida,Zingiberales,Musaceae,unassigned,unassigned
ASV_972,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_973,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_974,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,unassigned,unassigned
ASV_975,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Clausophyidae,Chuniphyes,unassigned
ASV_976,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_977,Viridiplantae,Chlorophyta,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_978,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
ASV_979,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_980,Metazoa,Annelida,Polychaeta,Spionida,Spionidae,no_hit,s_
ASV_981,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_982,Eukaryota,unknown,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,unassigned
ASV_983,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_985,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Eutintinnus,Eutintinnus tenuis
ASV_987,Eukaryota,unknown,Polycystinea,Spumellaria,Spongodiscidae,unassigned,unassigned
ASV_988,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_990,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Amphilothaceae,Achradina,Achradina pulchra
ASV_991,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,s_
ASV_992,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_993,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium conicum
ASV_994,no_hit,unknown,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella masanensis
ASV_995,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Cryptosporidiidae,g_,s_
ASV_996,Eukaryota,unknown,Bolidophyceae,Parmales,Triparmaceae,Bolidomonas,unassigned
ASV_997,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_998,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_999,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,g_,s_
ASV_1000,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium divergens
ASV_1001,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1002,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_1003,Eukaryota,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,g_,s_
ASV_1004,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1005,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1006,Eukaryota,unknown,unknown,Pirsoniales,unknown,Pirsonia,Pirsonia verrucosa
ASV_1007,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1008,Eukaryota,Cercozoa,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1009,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1010,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,s_
ASV_1012,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_1013,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1014,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,Oncaea,unassigned
ASV_1015,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,unassigned
ASV_1017,Eukaryota,Chordata,Thaliacea,Salpida,Salpidae,Cyclosalpa,unassigned
ASV_1018,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11072
ASV_1019,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11012
ASV_1020,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,g_,s_
ASV_1021,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1022,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1023,Eukaryota,Euglenozoa,unknown,Diplonemea,unassigned,unassigned,s_
ASV_1024,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1025,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1026,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1027,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,g_,s_
ASV_1029,Eukaryota,unknown,Dinophyceae,Dinophysiales,Dinophysiaceae,unassigned,unassigned
ASV_1030,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1031,Eukaryota,Haptista,Centroplasthelida,Pterocystida,Pterocystidae,g_,s_
ASV_1032,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,s_
ASV_1033,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a
ASV_1034,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_1035,Eukaryota,unknown,Dinophyceae,Syndiniales,Ellobiopsidae,Thalassomyces,Thalassomyces fagei
ASV_1036,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1037,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1038,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,g_,s_
ASV_1039,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,Corethron inerme
ASV_1040,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,s_
ASV_1041,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_1042,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1043,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1044,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1045,Eukaryota,Cercozoa,Thecofilosea,Ventricleftida,Ventrifissuridae,g_,s_
ASV_1046,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1047,Eukaryota,unknown,Dictyochophyceae,Pedinellales,unknown,g_,s_
ASV_1049,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,unassigned,unassigned
ASV_1051,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina acantha
ASV_1052,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellariidae,unassigned,unassigned
ASV_1053,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1054,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Planktoniella,Planktoniella sol
ASV_1055,Eukaryota,Arthropoda,Hexanauplia,Sessilia,unassigned,unassigned,unassigned
ASV_1056,Eukaryota,unknown,Bigyra,Nanomonadea,unknown,Incisomonas,Incisomonas marina
ASV_1058,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,unassigned,s_
ASV_1062,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1063,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1064,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1065,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,g_,s_
ASV_1066,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium sp. JG-2011a
ASV_1067,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,Pentapharsodinium,s_
ASV_1068,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1070,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,unassigned,s_
ASV_1071,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1072,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_1074,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Islandinium,Islandinium tricingulatum
ASV_1075,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_1076,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1078,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,s_
ASV_1079,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,s_
ASV_1080,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_1081,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1082,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_1083,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned
ASV_1085,Metazoa,Annelida,Polychaeta,Spionida,Spionidae,no_hit,no_hit
ASV_1086,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1087,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1088,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,s_
ASV_1089,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1091,Eukaryota,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,g_,s_
ASV_1092,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_1093,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1095,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11072
ASV_1097,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_1098,Eukaryota,unknown,Cryptophyceae,Cyathomonadacea,Goniomonadaceae,Goniomonas,s_
ASV_1100,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_1101,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1102,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis
ASV_1103,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,unassigned
ASV_1104,Eukaryota,unknown,Oomycota,Lagenidiales,Haliphthoraceae,Haliphthoros,unassigned
ASV_1106,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia borealis
ASV_1107,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1108,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1109,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,g_,s_
ASV_1110,Eukaryota,Annelida,Polychaeta,Terebellida,Terebellidae,Lysilla,Lysilla sp. THS-2012
ASV_1111,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,Strombidinopsis sp. NSMS0601
ASV_1112,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris
ASV_1113,Eukaryota,unknown,Pelagophyceae,Pelagomonadales,unknown,Aureococcus,Aureococcus anophagefferens
ASV_1114,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,unassigned,unassigned
ASV_1115,Eukaryota,unknown,Choanoflagellata,Acanthoecida,Stephanoecidae,g_,s_
ASV_1116,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,g_,s_
ASV_1117,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_1118,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,unassigned
ASV_1120,Eukaryota,unknown,Bigyra,Nanomonadea,unknown,Incisomonas,Incisomonas marina
ASV_1122,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1123,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1124,no_hit,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no_hit
ASV_1126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,s_
ASV_1128,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,g_,s_
ASV_1129,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,unassigned
ASV_1130,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,unassigned
ASV_1131,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Proteomonas,unassigned
ASV_1132,no_hit,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,g_,s_
ASV_1133,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,unassigned,unassigned
ASV_1134,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1135,Eukaryota,Endomyxa,Ascetosporea,Paradiniida,unknown,Paradinium,Paradinium poucheti
ASV_1136,Eukaryota,Bacillariophyta,Fragilariophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1137,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_1138,Eukaryota,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,unassigned
ASV_1139,Eukaryota,unknown,Polycystinea,unassigned,unassigned,unassigned,unassigned
ASV_1140,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1141,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1143,Eukaryota,Basidiomycota,Tremellomycetes,unassigned,unassigned,unassigned,unassigned
ASV_1144,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_1145,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1146,Eukaryota,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Tintinnidium,Tintinnidium mucicola
ASV_1147,Eukaryota,Ciliophora,Spirotrichea,unknown,unknown,g_,s_
ASV_1148,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,g_,s_
ASV_1150,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1151,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. UNC1414
ASV_1152,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,s_
ASV_1153,no_hit,unknown,unknown,unknown,unknown,g_,s_
ASV_1154,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Amphidomataceae,g_,s_
ASV_1155,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Hormonema,Hormonema carpetanum
ASV_1156,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,g_,s_
ASV_1157,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1158,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1159,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1160,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1161,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1162,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1163,Eukaryota,Ctenophora,Nuda,Beroida,Beroidae,Beroe,unassigned
ASV_1164,Eukaryota,unknown,Dinophyceae,Peridiniales,Amphidiniopsidaceae,Archaeperidinium,unassigned
ASV_1166,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_1167,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_1168,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1170,Eukaryota,unknown,unknown,Telonemida,unknown,g_,s_
ASV_1171,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,g_,s_
ASV_1172,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_1173,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium conicum
ASV_1175,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,g_,s_
ASV_1176,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1178,Eukaryota,unknown,Dictyochophyceae,Dictyochales,unknown,Dictyocha,Dictyocha fibula
ASV_1179,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1180,Eukaryota,unknown,Bolidophyceae,Parmales,Triparmaceae,Triparma,unassigned
ASV_1181,Eukaryota,unknown,unknown,unknown,unknown,unknown,Uncultured marine alveolate Group I DH148-EKD22
ASV_1182,no_hit,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,g_,s_
ASV_1185,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_1187,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,s_
ASV_1188,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned
ASV_1189,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,g_,s_
ASV_1190,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_1191,Eukaryota,Mollusca,Gastropoda,unassigned,unassigned,unassigned,unassigned
ASV_1192,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus nubilus
ASV_1193,Eukaryota,unknown,Dinophyceae,unknown,unknown,g_,s_
ASV_1194,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_1195,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,g_,s_
ASV_1197,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris
ASV_1199,Eukaryota,Haptista,Centroplasthelida,Pterocystida,Pterocystidae,Pterocystis,unassigned
ASV_1200,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_1201,Eukaryota,Cercozoa,Thecofilosea,Phaeogromida,Challengeriidae,Protocystis,Protocystis thomsoni
ASV_1202,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,s_
ASV_1204,Eukaryota,Annelida,Polychaeta,Echiuroidea,Echiuridae,unassigned,unassigned
ASV_1205,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,s_
ASV_1206,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_1208,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_1210,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_1214,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_1215,Eukaryota,Basidiomycota,Agaricomycetes,unassigned,unassigned,unassigned,unassigned
ASV_1216,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,unassigned,unassigned,unassigned
